Date,AAPL,AMZN,GOOGL,MSFT,SPY
2019-01-02,37.503726959228516,76.95649719238281,52.30173110961914,94.39714050292969,224.38253784179688
2019-01-03,33.76808166503906,75.01399993896484,50.85319900512695,90.92445373535156,219.0281524658203
2019-01-04,35.20960998535156,78.76950073242188,53.46164321899414,95.15328979492188,226.3646697998047
2019-01-07,35.131248474121094,81.47550201416016,53.35503005981445,95.274658203125,228.1494598388672
2019-01-08,35.80094909667969,82.8290023803711,53.82365417480469,95.9654541015625,230.29296875
2019-01-09,36.408912658691406,82.97100067138672,53.63917541503906,97.33773040771484,231.36927795410156
2019-01-10,36.525291442871094,82.81099700927734,53.499332427978516,96.7122802734375,232.18540954589844
2019-01-11,36.16667175292969,82.02799987792969,52.78721237182617,95.9654541015625,232.27513122558594
2019-01-14,35.622833251953125,80.8604965209961,52.14453125,95.26533508300781,230.85804748535156
2019-01-15,36.35192108154297,83.72799682617188,53.880184173583984,98.02851104736328,233.50387573242188
2019-01-16,36.796016693115234,84.18900299072266,54.028953552246094,98.37390899658203,234.0688934326172
2019-01-17,37.01451873779297,84.66100311279297,54.505516052246094,99.06473541259766,235.8446807861328
2019-01-18,37.242496490478516,84.80999755859375,54.911163330078125,100.54901885986328,238.98382568359375
2019-01-22,36.40654754638672,81.6084976196289,53.489410400390625,98.65399169921875,235.75502014160156
2019-01-23,36.55379104614258,82.0009994506836,53.776039123535156,99.61548614501953,236.24827575683594
2019-01-24,36.26404571533203,82.74649810791016,53.755706787109375,99.13941955566406,236.3738555908203
2019-01-25,37.465728759765625,83.52850341796875,54.6240348815918,100.04490661621094,238.37393188476562
2019-01-28,37.11899948120117,81.89450073242188,53.550411224365234,98.09388732910156,236.56224060058594
2019-01-29,36.73426818847656,79.69400024414062,53.064422607421875,96.09613037109375,236.24827575683594
2019-01-30,39.24449157714844,83.52149963378906,54.44947814941406,99.30745697021484,239.98831176757812
2019-01-31,39.527103424072266,85.9365005493164,55.833038330078125,97.48709106445312,242.0960235595703
2019-02-01,39.546112060546875,81.3115005493164,55.4725227355957,95.94678497314453,242.21255493164062
2019-02-04,40.669403076171875,81.66549682617188,56.603172302246094,98.70997619628906,243.91668701171875
2019-02-05,41.36522674560547,82.94049835205078,57.12138366699219,100.09159088134766,244.93917846679688
2019-02-06,41.3795051574707,82.01300048828125,55.684268951416016,98.98072814941406,244.61619567871094
2019-02-07,40.59578323364258,80.71849822998047,54.84223937988281,98.2712173461914,242.28439331054688
2019-02-08,40.643497467041016,79.41100311279297,54.667179107666016,98.6446762084961,242.58030700683594
2019-02-11,40.40975570678711,79.55000305175781,54.65427780151367,98.2525863647461,242.71487426757812
2019-02-12,40.757972717285156,81.90049743652344,55.91685104370117,99.7835464477539,245.8360595703125
2019-02-13,40.5886344909668,82.0,55.96891403198242,99.7088394165039,246.6342315673828
2019-02-14,40.73650360107422,81.13249969482422,55.9971809387207,99.7928695678711,246.087158203125
2019-02-15,40.64588165283203,80.39749908447266,55.522613525390625,101.02510070800781,248.768798828125
2019-02-19,40.76750946044922,81.37899780273438,55.86378479003906,100.97843933105469,249.1992645263672
2019-02-20,41.02985763549805,81.1050033569336,55.570213317871094,100.45342254638672,249.70159912109375
2019-02-21,40.79851531982422,80.97200012207031,54.7579231262207,102.57218933105469,248.81358337402344
2019-02-22,41.25406265258789,81.5780029296875,55.370361328125,104.03468322753906,250.35633850097656
2019-02-25,41.55457305908203,81.6500015258789,55.40855026245117,104.61595916748047,250.6970672607422
2019-02-26,41.578433990478516,81.81999969482422,55.64063262939453,105.33782196044922,250.51773071289062
2019-02-27,41.70721435546875,82.05449676513672,55.684268951416016,105.1596908569336,250.41014099121094
2019-02-28,41.29698944091797,81.99150085449219,55.86577224731445,105.0284423828125,249.9437713623047
2019-03-01,41.73106384277344,83.58650207519531,56.955265045166016,105.49717712402344,251.50433349609375
2019-03-04,41.94096374511719,84.80850219726562,57.19826126098633,105.24407958984375,250.58949279785156
2019-03-05,41.86463165283203,84.62149810791016,57.98029327392578,104.71908569335938,250.24859619140625
2019-03-06,41.62373352050781,83.44750213623047,57.769535064697266,104.76593780517578,248.7329559326172
2019-03-07,41.1419563293457,81.29750061035156,57.0708122253418,103.49092864990234,246.6522216796875
2019-03-08,41.23975372314453,81.04000091552734,57.02717208862305,103.60346221923828,246.15884399414062
2019-03-11,42.66838073730469,83.53099822998047,58.47966003417969,105.7784652709961,249.72850036621094
2019-03-12,43.14778137207031,83.65499877929688,59.37179183959961,106.51908111572266,250.6701202392578
2019-03-13,43.338584899902344,84.54049682617188,59.461551666259766,107.34407806396484,252.32936096191406
2019-03-14,43.82035827636719,84.31099700927734,59.13772201538086,107.42845153808594,252.16798400878906
2019-03-15,44.3903923034668,85.61799621582031,59.027137756347656,108.66596221923828,253.41384887695312
2019-03-18,44.843544006347656,87.10749816894531,58.94036102294922,110.22222137451172,254.3326416015625
2019-03-19,44.48817443847656,88.09249877929688,59.630157470703125,110.29721069335938,254.395751953125
2019-03-20,44.87692642211914,89.8635025024414,60.8188362121582,110.17534637451172,253.630126953125
2019-03-21,46.5297737121582,90.96299743652344,61.29985427856445,112.70660400390625,256.4947814941406
2019-03-22,45.56621170043945,88.2385025024414,59.887535095214844,109.73471069335938,251.55809020996094
2019-03-25,45.0152702331543,88.71299743652344,59.37824249267578,110.30659484863281,251.36904907226562
2019-03-26,44.55018997192383,89.18800354003906,59.004329681396484,110.54094696044922,253.24273681640625
2019-03-27,44.950862884521484,88.28500366210938,58.41767883300781,109.47219848632812,251.9185333251953
2019-03-28,45.010501861572266,88.6709976196289,58.133026123046875,109.6221923828125,252.87338256835938
2019-03-29,45.303863525390625,89.0374984741211,58.36214065551758,110.56910705566406,254.4678497314453
2019-04-01,45.61152267456055,90.70950317382812,59.457584381103516,111.58160400390625,257.4856262207031
2019-04-02,46.274574279785156,90.6989974975586,59.782901763916016,111.74093627929688,257.6117858886719
2019-04-03,46.59178161621094,91.03500366210938,60.04423522949219,112.47222900390625,258.01715087890625
2019-04-04,46.67287063598633,90.94300079345703,60.47269821166992,111.90036010742188,258.7016906738281
2019-04-05,46.98531723022461,91.86399841308594,60.07596969604492,112.39720916748047,259.95391845703125
2019-04-08,47.72467803955078,92.49299621582031,59.91876983642578,112.43470764160156,260.15216064453125
2019-04-09,47.58155822753906,91.79199981689453,59.641563415527344,111.8253402709961,258.8189392089844
2019-04-10,47.84869384765625,92.36650085449219,59.82802200317383,112.67847442626953,259.7016906738281
2019-04-11,47.45039367675781,92.20349884033203,59.98373794555664,112.80972290039062,259.6296081542969
2019-04-12,47.431312561035156,92.15299987792969,60.635345458984375,113.39097595214844,261.3863525390625
2019-04-15,47.51717758178711,92.24349975585938,60.823787689208984,113.48471069335938,261.2151184082031
2019-04-16,47.521949768066406,93.1520004272461,61.09059143066406,113.22219848632812,261.3863525390625
2019-04-17,48.44733428955078,93.24099731445312,61.498714447021484,114.15971374511719,260.7467041015625
2019-04-18,48.6214485168457,93.08450317382812,61.564666748046875,115.65973663330078,261.2601013183594
2019-04-22,48.78125762939453,94.3655014038086,62.174129486083984,116.02536010742188,261.4853515625
2019-04-23,49.484832763671875,96.1884994506836,63.00873947143555,117.60035705566406,263.8366394042969
2019-04-24,49.40852355957031,95.0875015258789,62.486053466796875,117.19723510742188,263.2510070800781
2019-04-25,48.960121154785156,95.11250305175781,62.847564697265625,121.07848358154297,263.0887756347656
2019-04-26,48.72639083862305,97.53150177001953,63.34743881225586,121.77226257324219,264.3139953613281
2019-04-29,48.80032730102539,96.92150115966797,64.27873229980469,121.65975952148438,264.7283630371094
2019-04-30,47.860618591308594,96.32599639892578,59.45659255981445,122.43789672851562,264.863525390625
2019-05-01,50.20988845825195,95.57599639892578,58.18510437011719,119.88786315917969,262.87261962890625
2019-05-02,49.88313674926758,95.04100036621094,57.84739685058594,118.32225036621094,262.3050842285156
2019-05-03,50.50325393676758,98.12300109863281,58.989952087402344,120.84410095214844,264.8724060058594
2019-05-06,49.72334671020508,97.52749633789062,59.183841705322266,120.14099884033203,263.7825012207031
2019-05-07,48.3829460144043,96.05000305175781,58.45983123779297,117.67534637451172,259.3774719238281
2019-05-08,48.39247512817383,95.88849639892578,58.05914306640625,117.66596984863281,259.01702880859375
2019-05-09,47.8725471496582,94.99349975585938,57.91979217529297,117.65664672851562,258.23333740234375
2019-05-10,47.209346771240234,94.4990005493164,57.90342712402344,119.18474578857422,259.530517578125
2019-05-13,44.465572357177734,91.13400268554688,56.36365509033203,115.64096069335938,253.00845336914062
2019-05-14,45.16947555541992,92.00599670410156,55.781951904296875,116.93475341796875,255.29660034179688
2019-05-15,45.71056365966797,93.55750274658203,58.06012725830078,118.58142852783203,256.7920227050781
2019-05-16,45.50944900512695,95.37850189208984,58.73951721191406,121.31964874267578,259.17022705078125
2019-05-17,45.25087356567383,93.44999694824219,57.959957122802734,120.51042938232422,257.4945983886719
2019-05-20,43.83587646484375,92.94850158691406,56.763851165771484,118.76963806152344,255.79208374023438
2019-05-21,44.6762580871582,92.8759994506836,57.248844146728516,119.40949249267578,258.09820556640625
2019-05-22,43.76166915893555,92.98400115966797,57.318763732910156,120.13404083251953,257.3054504394531
2019-05-23,43.014671325683594,90.77400207519531,56.79756546020508,118.73199462890625,254.16163635253906
2019-05-24,42.84946823120117,91.16400146484375,56.463829040527344,118.7884521484375,254.73812866210938
2019-05-28,42.67229080200195,91.82150268554688,56.51094055175781,118.71318817138672,252.368896484375
2019-05-29,42.468788146972656,90.95950317382812,55.53797912597656,117.565185546875,250.67527770996094
2019-05-30,42.689048767089844,90.81600189208984,55.610877990722656,118.30856323242188,251.3599090576172
2019-05-31,41.91572189331055,88.75350189208984,54.871490478515625,116.37955474853516,247.9728546142578
2019-06-03,41.49193572998047,84.6344985961914,51.51125717163086,112.76622009277344,247.34226989746094
2019-06-04,43.00988006591797,86.47799682617188,52.29230499267578,115.8902587890625,252.7112274169922
2019-06-05,43.7042121887207,86.92500305175781,51.80384063720703,118.40264892578125,254.90017700195312
2019-06-06,44.34585189819336,87.71800231933594,51.95856857299805,120.27518463134766,256.5577697753906
2019-06-07,45.52621078491211,90.20149993896484,52.980613708496094,123.64384460449219,259.1250915527344
2019-06-10,46.108009338378906,93.03150177001953,53.6942253112793,124.77305603027344,260.31427001953125
2019-06-11,46.641910552978516,93.18499755859375,53.608917236328125,124.30258178710938,260.2511901855469
2019-06-12,46.49347686767578,92.76599884033203,53.512718200683594,123.72858428955078,259.7917785644531
2019-06-13,46.483890533447266,93.51499938964844,54.103336334228516,124.50956726074219,260.86376953125
2019-06-14,46.14631652832031,93.4834976196289,53.86976623535156,124.63191986083984,260.5755310058594
2019-06-17,46.421653747558594,94.30149841308594,54.246158599853516,125.00830078125,260.6745910644531
2019-06-18,47.51342010498047,95.06849670410156,54.80900573730469,127.18196868896484,263.40411376953125
2019-06-19,47.37455368041992,95.43949890136719,54.77280807495117,127.6806411743164,263.99871826171875
2019-06-20,47.75523376464844,95.90950012207031,55.20374298095703,128.86627197265625,266.5210266113281
2019-06-21,47.59242630004883,95.56500244140625,55.8072509765625,128.8850860595703,266.133544921875
2019-06-24,47.54454040527344,95.69499969482422,55.37731170654297,129.6472930908203,265.8077087402344
2019-06-25,46.82387924194336,93.91349792480469,53.93324279785156,125.55404663085938,263.20068359375
2019-06-26,47.83663558959961,94.8915023803711,53.573219299316406,126.0245132446289,262.9382019042969
2019-06-27,47.82227325439453,95.21399688720703,53.390228271484375,126.23155975341797,263.87054443359375
2019-06-28,47.386531829833984,94.68150329589844,53.696197509765625,126.05278778076172,265.2284240722656
2019-07-01,48.255638122558594,96.1094970703125,54.54915237426758,127.6712417602539,267.63629150390625
2019-07-02,48.53814697265625,96.71549987792969,55.173988342285156,128.51812744140625,268.3332214355469
2019-07-03,48.94037628173828,96.94999694824219,55.689231872558594,129.3461456298828,270.4786376953125
2019-07-05,48.897281646728516,97.14550018310547,56.16926193237305,128.9697723388672,270.1709289550781
2019-07-08,47.88930892944336,97.61599731445312,55.381771087646484,128.8756866455078,268.6864013671875
